Description,Amount,Transaction Type,Account Name,Category
Hardware Store,166.94,credit,Checking,Food & Drink
Credit Card Payment,132.17,debit,Silver Card,Food & Drink
City Water Charges,51.36,debit,Silver Card,Food & Drink
Biweekly Paycheck,158.68,credit,Platinum Card,Transportation
Biweekly Paycheck,106.34,credit,Platinum Card,Transportation
Chick-Fil-A,75.43,credit,Checking,Transportation
Credit Card Payment,162.51,debit,Platinum Card,Shopping
Amazon,161.5,credit,Silver Card,Transportation
Credit Card Payment,35.59,debit,Platinum Card,Food & Drink
Sheetz,10.18,credit,Silver Card,Food & Drink
Mike's Construction Co.,178.19,credit,Platinum Card,Credit Card Payment
Hardware Store,17.1,debit,Silver Card,Housing
Netflix,11.17,credit,Silver Card,Credit Card Payment
Hardware Store,70.03,credit,Platinum Card,Transportation
Grocery Store,110.24,debit,Platinum Card,Food & Drink
Amazon,31.89,debit,Platinum Card,Credit Card Payment
Grocery Store,2.52,credit,Checking,Food & Drink
Movie Theater,84.03,credit,Silver Card,Credit Card Payment
Grocery Store,197.86,debit,Platinum Card,Shopping
Shell,38.52,debit,Platinum Card,Transportation
Credit Card Payment,189.72,credit,Platinum Card,Utilities & Services
Phone Company,138.15,debit,Checking,Transportation
Grocery Store,141.61,credit,Checking,Utilities & Services
Grocery Store,143.56,debit,Checking,Paycheck
American Tavern,29.73,credit,Platinum Card,Food & Drink
Credit Card Payment,159.05,debit,Platinum Card,Utilities & Services
Gas Company,30.0,debit,Checking,Utilities & Services
Brewing Company,158.14,credit,Silver Card,Transportation
Hardware Store,13.89,debit,Platinum Card,Housing
Credit Card Payment,178.43,credit,Platinum Card,Housing
Brewing Company,61.36,credit,Platinum Card,Credit Card Payment
Mike's Construction Co.,137.03,credit,Checking,Food & Drink
Thai Restaurant,30.32,credit,Platinum Card,Transportation
BP,172.42,debit,Platinum Card,Food & Drink
American Tavern,51.58,debit,Silver Card,Food & Drink
Credit Card Payment,177.45,credit,Silver Card,Credit Card Payment
Thai Restaurant,160.03,debit,Platinum Card,Credit Card Payment
Grocery Store,26.9,credit,Checking,Credit Card Payment
Gas Company,122.45,credit,Checking,Credit Card Payment
Credit Card Payment,189.94,credit,Checking,Paycheck
Credit Card Payment,34.28,credit,Silver Card,Food & Drink
Biweekly Paycheck,172.89,credit,Silver Card,Food & Drink
Thai Restaurant,27.05,credit,Platinum Card,Credit Card Payment
Grocery Store,77.08,debit,Silver Card,Shopping
Starbucks,117.88,credit,Silver Card,Utilities & Services
Pizza Place,111.96,debit,Platinum Card,Credit Card Payment
Grocery Store,50.89,credit,Checking,Paycheck
Thai Restaurant,26.04,debit,Silver Card,Food & Drink
Gas Company,79.3,debit,Platinum Card,Shopping
Grocery Store,164.24,credit,Platinum Card,Food & Drink
Spotify,175.67,credit,Checking,Shopping
BP,8.85,credit,Checking,Food & Drink
Grocery Store,40.17,debit,Silver Card,Shopping
Brewing Company,55.83,debit,Checking,Food & Drink
Spotify,37.07,credit,Checking,Food & Drink
Starbucks,147.06,credit,Platinum Card,Credit Card Payment
Netflix,28.33,debit,Platinum Card,Shopping
Power Company,160.0,debit,Checking,Housing
Belgian Restaurant,177.75,credit,Checking,Utilities & Services
Spotify,69.84,debit,Checking,Food & Drink
Netflix,6.44,credit,Platinum Card,Food & Drink
Phone Company,193.2,credit,Checking,Transportation
Grocery Store,176.12,credit,Checking,Shopping
Shell,178.43,debit,Silver Card,Food & Drink
Credit Card Payment,96.39,debit,Silver Card,Housing
Roadside Diner,160.65,debit,Silver Card,Credit Card Payment
Grocery Store,141.04,credit,Checking,Shopping
Credit Card Payment,173.87,debit,Platinum Card,Food & Drink
Amazon,44.71,debit,Checking,Food & Drink
City Water Charges,27.66,credit,Silver Card,Shopping
Gas Company,100.95,credit,Platinum Card,Transportation
Mortgage Payment,130.4,debit,Checking,Credit Card Payment
Grocery Store,79.67,debit,Platinum Card,Entertainment
State Farm,75.0,debit,Checking,Transportation
Thai Restaurant,147.23,debit,Silver Card,Utilities & Services
Grocery Store,64.27,credit,Platinum Card,Utilities & Services
Italian Restaurant,192.96,credit,Platinum Card,Food & Drink
Brewing Company,18.0,debit,Silver Card,Food & Drink
Mediterranean Restaurant,107.67,credit,Platinum Card,Food & Drink
Credit Card Payment,189.64,credit,Silver Card,Food & Drink
Brewing Company,193.58,credit,Silver Card,Transportation
Biweekly Paycheck,28.07,debit,Checking,Haircut
City Water Charges,155.86,debit,Platinum Card,Food & Drink
City Water Charges,6.6,debit,Checking,Food & Drink
Grocery Store,51.37,debit,Checking,Shopping
Netflix,187.22,debit,Platinum Card,Food & Drink
Phone Company,65.0,debit,Checking,Utilities & Services
Credit Card Payment,46.26,debit,Platinum Card,Utilities & Services
Brewing Company,67.44,credit,Checking,Food & Drink
Hardware Store,123.49,credit,Checking,Utilities & Services
Credit Card Payment,155.86,credit,Silver Card,Transportation
American Tavern,173.93,debit,Platinum Card,Credit Card Payment
Grocery Store,8.14,credit,Checking,Credit Card Payment
Internet Service Provider,49.5,credit,Platinum Card,Credit Card Payment
Grocery Store,96.97,credit,Platinum Card,Housing
Gas Company,75.66,credit,Checking,Transportation
Biweekly Paycheck,102.75,credit,Silver Card,Food & Drink
Amazon,92.41,debit,Checking,Food & Drink
Internet Service Provider,173.58,credit,Platinum Card,Shopping
Grocery Store,107.8,debit,Platinum Card,Shopping
Amazon,173.04,debit,Checking,Food & Drink
Greek Restaurant,90.66,credit,Platinum Card,Food & Drink
Grocery Store,60.82,debit,Silver Card,Paycheck
Grocery Store,93.46,debit,Platinum Card,Food & Drink
Biweekly Paycheck,143.04,credit,Checking,Food & Drink
Credit Card Payment,135.96,debit,Platinum Card,Food & Drink
Credit Card Payment,151.78,debit,Platinum Card,Transportation
Spotify,25.95,credit,Checking,Utilities & Services
Brunch Restaurant,135.0,debit,Silver Card,Shopping
City Water Charges,52.55,debit,Checking,Transportation
Amazon,151.91,credit,Checking,Food & Drink
Amazon,155.97,debit,Silver Card,Food & Drink
Power Company,64.27,credit,Silver Card,Transportation
Phone Company,64.02,credit,Checking,Food & Drink
Biweekly Paycheck,116.76,debit,Checking,Utilities & Services
German Restaurant,118.68,debit,Silver Card,Food & Drink
Hardware Store,3.71,debit,Platinum Card,Food & Drink
Bakery Place,78.77,credit,Silver Card,Food & Drink
BP,91.95,debit,Checking,Credit Card Payment
Biweekly Paycheck,71.83,credit,Silver Card,Paycheck
Biweekly Paycheck,21.45,credit,Platinum Card,Transportation
Mike's Construction Co.,196.2,debit,Checking,Utilities & Services
